system   I             system.c:245  al_install_system                [   0.00040] Allegro version: 5.1.12 (WIP)
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00074] Also searching E:\school\EGP-410\GameAI\steering\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00091] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00093] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.03886] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.31489] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.31574] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.31576] al_display=009F4D00
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.31577] al_display->vt=009F4C20
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.32092] found 288 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.32095] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32098] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32099] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32101] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32102] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32104] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.32105] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32107] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.32108] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32110] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.32111] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32113] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.32114] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32116] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.32117] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32119] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.32120] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32122] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.32123] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32125] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32126] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32128] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32129] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32135] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.32137] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32138] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.32140] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32141] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.32142] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32144] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.32145] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32147] Score is : 714
